"country_code","country","first_year","first_value","last_year","last_value","total_change","slope_c_per_decade","r2","n_years","mean_1850_1900","mean_2015_2025","period_delta"
"PG","Papua New Guinea",1850,-0.1,2025,1.1,1.2,0.0424653312788907,0.29790834242782,176,-0.266666666666667,0.672727272727273,0.93939393939394
"SB","Solomon Islands",1850,0.1,2025,1,0.9,0.041503411842395,0.247976698446459,176,-0.205882352941176,0.672727272727273,0.878609625668449
"VU","Vanuatu",1850,-0.4,2025,0.9,1.3,0.0434558661677306,0.290546884504825,176,-0.303921568627451,0.545454545454545,0.849376114081996
"TK","Tokelau",1850,0,2025,0.4,0.4,0.0431234866828088,0.27873052708773,176,-0.329411764705882,0.5,0.829411764705882
"MH","Marshall Islands",1850,-0.1,2025,0.4,0.5,0.0430827646929342,0.361637262029938,176,-0.274509803921569,0.545454545454545,0.819964349376114
"PF","French Polynesia",1850,-0.6,2025,0.5,1.1,0.0438465771516619,0.278819945020515,176,-0.390196078431373,0.427272727272727,0.8174688057041
"NC","New Caledonia",1850,-0.6,2025,0.7,1.3,0.0411688311688312,0.235182038606286,176,-0.331372549019608,0.472727272727273,0.80409982174688
"FM","Micronesia",1850,0,2025,0.9,0.9,0.0354699537750386,0.26541951795509,176,-0.12156862745098,0.681818181818182,0.803386809269162
"GU","Guam",1850,-0.2,2025,0.9,1.1,0.0371923838872992,0.283409863104657,176,-0.156862745098039,0.636363636363636,0.793226381461676
"AS","American Samoa",1850,0.1,2025,0.5,0.4,0.0407748184019371,0.37657798562536,176,-0.237254901960784,0.545454545454545,0.78270944741533
"WS","Samoa",1850,0.1,2025,0.5,0.4,0.0407748184019371,0.37657798562536,176,-0.237254901960784,0.545454545454545,0.78270944741533
"MP","Northern Mariana Islands",1850,-0.4,2025,0.9,1.3,0.035759410081444,0.255891098386334,176,-0.127450980392157,0.654545454545455,0.781996434937611
"WF","Wallis and Futuna",1850,0,2025,0.5,0.5,0.040100154083205,0.384819182947879,176,-0.217647058823529,0.545454545454545,0.763101604278075
"PW","Palau",1850,0,2025,0.9,0.9,0.0300451243671583,0.174447343471597,176,-0.096078431372549,0.663636363636364,0.759714795008913
"TV","Tuvalu",1850,0,2025,0.5,0.5,0.0354688531807177,0.221753227723644,176,-0.2,0.554545454545455,0.754545454545455
"FJ","Fiji",1850,-0.1,2025,0.7,0.8,0.0377184679727053,0.247449257887261,176,-0.217647058823529,0.536363636363636,0.754010695187166
"KI","Kiribati",1850,0.1,2025,0,-0.1,0.0360708782742682,0.1247852358921,176,-0.296078431372549,0.436363636363636,0.732442067736185
"CK","Cook Islands",1850,-0.2,2025,0.5,0.7,0.0359718247853841,0.317761504051412,176,-0.201960784313725,0.5,0.701960784313725
"NR","Nauru",1850,0.3,2025,0.3,0,0.0279011666299803,0.0951459385000948,176,-0.123529411764706,0.554545454545455,0.67807486631016
"TO","Tonga",1850,-0.2,2025,0.6,0.8,0.0324169051287696,0.188104033460622,176,-0.113725490196078,0.563636363636364,0.677361853832442
"NU","Niue",1850,-0.1,2025,0.5,0.6,0.0333017829628,0.227826456281356,176,-0.0980392156862745,0.572727272727273,0.670766488413547
"PN","Pitcairn",1850,0.1,2025,0.6,0.5,0.0228439357252917,0.154932153904935,176,-0.201960784313725,0.263636363636364,0.465597147950089
