"country","from_year","to_year","from_value","to_value","swing","abs_swing"
"Nauru",2019,2020,66.6,-25.3,-91.9,91.9
"Kiribati",1996,1997,-25.2,40.4,65.6,65.6
"Tuvalu",1998,1999,25.5,-35.6,-61.1,61.1
"Micronesia",1998,1999,-39.4,15.2,54.6,54.6
"Pitcairn",2011,2012,-28.3,24.2,52.5,52.5
"Palau",2010,2011,-20.3,31.6,51.9,51.9
"Tokelau",1998,1999,19.1,-31.9,-51,51
"New Caledonia",1987,1988,-14.8,35.8,50.6,50.6
"American Samoa",2020,2021,20.8,-24.7,-45.5,45.5
"Samoa",2020,2021,27.3,-18.1,-45.4,45.4
"Vanuatu",1987,1988,-15.2,29.9,45.1,45.1
"Fiji",1998,1999,-24.2,19.6,43.8,43.8
"Guam",1997,1998,16.1,-27,-43.1,43.1
"Marshall Islands",1997,1998,20.7,-20.2,-40.9,40.9
"Niue",1987,1988,-18.2,20.8,39,39
"Papua New Guinea",1997,1998,-26.7,12.3,39,39
"Tonga",1998,1999,-21.8,12.7,34.5,34.5
"Cook Islands",1988,1989,22.2,-11.6,-33.8,33.8
"Solomon Islands",1996,1997,5.1,-28,-33.1,33.1
"Northern Mariana Islands",1988,1989,-16.5,15,31.5,31.5
"Wallis and Futuna",1987,1988,-22.4,8.8,31.2,31.2
"French Polynesia",1998,1999,20,-9.3,-29.3,29.3
