"country_code","country","crop_1961_1970","crop_2015_2024","crop_change","crop_pct_change","livestock_1961_1970","livestock_2015_2024","livestock_change","livestock_pct_change","rain_shift","temp_shift"
"NU","Niue",2332.9,1335.28,-997.62,-42.7630845728492,2389.67,2919.95,530.28,22.1905116606058,13.3090909090909,0.670766488413547
"FJ","Fiji",43121.8,34792.22,-8329.58,-19.3164014489191,8339.72,6792.99,-1546.73,-18.5465459272014,3.28484848484848,0.754010695187166
"TO","Tonga",8075.22,7326.71,-748.51,-9.26922114815448,3200.23,1110.78,-2089.45,-65.2906197367064,14.478354978355,0.677361853832442
"PF","French Polynesia",5719.36,5783.8,64.4400000000005,1.12669949085213,3945.62,1402.34,-2543.28,-64.4583107344346,-1.96147186147186,0.8174688057041
"WS","Samoa",4212.32,4498.66,286.34,6.79767918866563,1726.55,808.54,-918.01,-53.1701948973386,8.25367965367965,0.78270944741533
"SB","Solomon Islands",6193.65,6966.33,772.68,12.4753578261607,3689.73,3218.29,-471.44,-12.7770866702984,17.182683982684,0.878609625668449
"NC","New Caledonia",4323.25,5229.56,906.31,20.9636269010582,438.84,512.08,73.2400000000001,16.6894540151308,-16.2354978354978,0.80409982174688
"TV","Tuvalu",1494.27,1819.78,325.51,21.7838810924398,2021.52,344.41,-1677.11,-82.9628200561953,-3.67662337662337,0.754545454545455
"VU","Vanuatu",4014.78,5209.59,1194.81,29.7602857441753,1631.17,2399.4,768.23,47.0968691184855,7.99004329004329,0.849376114081996
"CK","Cook Islands",2937.33,4158.97,1221.64,41.5901516002628,2094.17,132.35,-1961.82,-93.6800737284939,1.84502164502165,0.701960784313725
"NR","Nauru",5273.07,8813.84,3540.77,67.1481698517183,733.42,415.81,-317.61,-43.3053366420332,-9.61818181818182,0.67807486631016
"PG","Papua New Guinea",5235.82,10274.09,5038.27,96.2269520342564,1894.7,2021.11,126.41,6.67176861772311,3.56623376623377,0.93939393939394
"KI","Kiribati",2265.44,7535.71,5270.27,232.637809873579,1553.79,2836.51,1282.72,82.554270525618,-4.11255411255411,0.732442067736185
